"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jun-2024","EQ","1,437.85","1,443.95","1,426.60","1,447.85","1,439.15","1,440.85","1,438.81","1,697.35","1,087.05","19,88,692","2,86,13,53,221.70","62,740"
"21-Jun-2024","EQ","1,462.00","1,481.95","1,439.20","1,443.45","1,440.45","1,447.85","1,455.75","1,697.35","1,087.05","64,89,262","9,44,67,37,707.25","2,02,739"
"20-Jun-2024","EQ","1,448.95","1,448.95","1,429.55","1,445.85","1,445.00","1,443.45","1,439.07","1,697.35","1,087.05","31,63,919","4,55,31,08,647.80","1,37,696"
"19-Jun-2024","EQ","1,440.05","1,451.90","1,430.30","1,437.20","1,444.00","1,445.85","1,442.93","1,697.35","1,087.05","31,17,522","4,49,83,64,806.75","81,219"
"18-Jun-2024","EQ","1,431.05","1,439.75","1,427.05","1,431.05","1,438.90","1,437.20","1,434.35","1,697.35","1,087.05","22,23,029","3,18,85,97,282.15","80,280"
"14-Jun-2024","EQ","1,444.15","1,446.00","1,424.40","1,444.15","1,431.20","1,431.05","1,431.54","1,697.35","1,087.05","30,65,114","4,38,78,33,488.55","1,28,656"
"13-Jun-2024","EQ","1,447.75","1,457.70","1,437.10","1,438.75","1,445.20","1,444.15","1,446.24","1,697.35","1,087.05","42,32,861","6,12,17,13,027.60","1,33,122"
"12-Jun-2024","EQ","1,472.00","1,472.00","1,434.50","1,428.80","1,437.00","1,438.75","1,448.95","1,697.35","1,087.05","59,90,861","8,68,04,48,340.65","1,77,302"
"11-Jun-2024","EQ","1,425.00","1,437.95","1,415.40","1,418.75","1,428.00","1,428.80","1,428.46","1,697.35","1,087.05","22,69,082","3,24,12,86,078.85","88,902"
"10-Jun-2024","EQ","1,440.00","1,442.00","1,397.50","1,431.50","1,418.30","1,418.75","1,414.21","1,697.35","1,087.05","32,93,739","4,65,80,40,431.30","1,64,903"
"07-Jun-2024","EQ","1,407.00","1,438.65","1,398.00","1,397.50","1,428.50","1,431.50","1,423.72","1,697.35","1,087.05","58,84,025","8,37,72,01,153.75","2,15,600"
"06-Jun-2024","EQ","1,354.00","1,399.80","1,350.90","1,343.70","1,396.00","1,397.50","1,384.80","1,697.35","1,087.05","59,36,709","8,22,11,49,382.40","2,55,514"
"05-Jun-2024","EQ","1,320.00","1,356.90","1,316.10","1,303.55","1,347.15","1,343.70","1,343.16","1,697.35","1,087.05","30,05,139","4,03,63,69,064.30","1,52,334"
"04-Jun-2024","EQ","1,325.00","1,325.00","1,235.00","1,314.45","1,319.95","1,303.55","1,300.77","1,697.35","1,087.05","54,47,244","7,08,56,34,447.55","1,79,504"
"03-Jun-2024","EQ","1,350.55","1,354.75","1,309.85","1,324.10","1,316.50","1,314.45","1,321.70","1,697.35","1,087.05","53,84,064","7,11,60,93,523.45","1,74,269"
